COUNTRY,COUNTRY ABBREV,CCODE,YEAR,ISOCODE,TOTGEN,UEGEN,SKGEN,PGEN,APWWage,US100,UC1000,SS100,SC1000,MPS100,MPC1000,SPS100,SPC1000,UEQUAL,UEDUR,UEWAIT,UECOV,SICKQUAL,SICKDUR,SICKWAIT,SICKCOV,PQUAL,PFUND,AVGPER,PENCOV,MRET,FRET,LEXP65
"Australia",AUS,1,1992,36,22.5,7.8,6.8,7.8,30924,0.322,0.721,0.322,0.721,0.35,0.526,0.35,0.526,0,999,7,1,0,999,7,1,0,0,0,0.699,65,60,17.3
"Australia",AUS,1,1993,36,22.3,7.8,6.8,7.8,33414,0.309,0.7,0.309,0.7,0.341,0.514,0.341,0.514,0,999,7,1,0,999,7,1,0,0,0,0.712,65,60,17.6
"Australia",AUS,1,1994,36,22,7.7,6.7,7.6,34661,0.299,0.682,0.299,0.682,0.324,0.489,0.324,0.496,0,999,7,1,0,999,7,1,0,0,0,0.723,65,60,17.55
"Australia",AUS,1,1995,36,22,7.7,6.7,7.7,35287,0.297,0.675,0.297,0.675,,,0.322,0.489,0,999,7,1,0,999,7,1,0,0,0,0.706,65,60,17.6
"Australia",AUS,1,1996,36,22.2,7.7,6.8,7.7,37034,0.309,0.694,0.309,0.694,0.334,0.496,0.334,0.503,0,999,7,1,0,999,7,1,0,0,0,0.708,65,60,17.7
"Australia",AUS,1,1997,36,22,7.7,6.7,7.6,38763,0.3,0.679,0.3,0.679,0.325,0.476,0.325,0.49,0,999,7,1,0,999,7,1,0,0,0,0.721,65,60.5,17.95
"Australia",AUS,1,1998,36,21.8,7.6,6.7,7.6,39817,0.289,0.656,0.289,0.656,0.319,0.47,0.319,0.483,0,999,7,1,0,999,7,1,0,0,0,0.718,65,61,18.15
"Australia",AUS,1,1999,36,21.8,7.6,6.6,7.6,40474,0.287,0.654,0.287,0.654,0.319,0.47,0.319,0.483,0,999,7,1,0,999,7,1,0,0,0,0.713,65,61.5,18.4
"Australia",AUS,1,2000,36,21.7,7.6,6.6,7.6,44215,0.275,0.651,0.275,0.651,0.309,0.485,0.309,0.485,0,999,7,1,0,999,7,1,0,0,0,0.654,65,62,18.65
"Australia",AUS,1,2001,36,21.7,7.6,6.6,7.5,48568,0.274,0.665,0.274,0.665,,,0.308,0.485,0,999,7,1,0,999,7,1,0,0,0,0.658,65,62.5,18.95
"Australia",AUS,1,2002,36,21.5,7.5,6.6,7.5,50732,0.26,0.637,0.26,0.637,0.297,0.469,0.297,0.469,0,999,7,1,0,999,7,1,0,0,0,0.664,65,63,19.1
"Australia",AUS,1,2003,36,21.5,7.5,6.5,7.5,51190,0.256,0.628,0.256,0.628,0.297,0.469,0.297,0.469,0,999,7,1,0,999,7,1,0,0,0,0.666,65,63.5,19.3
"Australia",AUS,1,2004,36,21.1,7.3,6.4,7.4,53539,0.26,0.561,0.26,0.561,0.31,0.431,0.31,0.431,0,999,7,1,0,999,7,1,0,0,0,0.669,65,64,19.45
"Australia",AUS,1,2005,36,21.4,7.4,6.5,7.5,56054,0.254,0.608,0.254,0.608,0.303,0.467,0.303,0.467,0,999,7,1,0,999,7,1,0,0,0,0.668,65,64.5,19.75
"Australia",AUS,1,2006,36,21.3,7.4,6.5,7.5,58171,0.251,0.6,0.251,0.6,0.305,0.471,0.305,0.471,0,999,7,1,0,999,7,1,0,0,0,0.667,65,65,19.9
"Australia",AUS,1,2007,36,20.9,7.2,6.4,7.4,61431,0.247,0.537,0.247,0.537,0.307,0.429,0.307,0.429,0,999,7,1,0,999,7,1,0,0,0,0.66,65,65,20.05
"Australia",AUS,1,2008,36,20.8,7.2,6.3,7.3,64715,0.239,0.524,0.239,0.524,0.299,0.423,0.299,0.423,0,999,7,1,0,999,7,1,0,0,0,0.684,65,65,20.1
"Australia",AUS,1,2009,36,20.7,7.1,6.3,7.3,64715,0.234,0.515,0.234,0.515,0.294,0.418,0.294,0.418,0,999,7,1,0,999,7,1,0,0,0,0.727,65,65,20.25
"Australia",AUS,1,2010,36,20.9,7.1,6.3,7.6,67952,0.228,0.501,0.228,0.501,0.346,0.441,0.346,0.441,0,999,7,1,0,999,7,1,0,0,0,0.717,65,65,20.35
"Australia",AUS,1,2011,36,,7.2,6.3,,71189,0.224,0.533,0.224,0.533,0.343,0.475,0.343,0.475,0,999,7,1,0,999,7,1,0,0,0,,,,
"Austria",AUT,2,1970,40,,,,,54498,0.397,0.484,0.738,0.771,,,,,,,,0.78,,,,,,,,,,,13.3
"Austria",AUT,2,1971,40,,7.9,11.3,,58956,0.491,0.554,0.743,0.771,,,,,156,30,7,0.81,0,26,3,0.84,45,0.5,5,0.78,65,60,13.55
"Austria",AUT,2,1972,40,,7.6,11.5,,66782,0.439,0.499,0.751,0.774,,,,,156,30,7,0.82,0,26,3,0.85,45,0.5,5,0.8,65,60,13.75
"Austria",AUT,2,1973,40,29.6,7.4,12,10.2,75825,0.38,0.444,0.74,0.783,0.405,0.444,0.766,0.595,156,30,7,0.85,0,26,3,0.89,45,0.5,5,0.8,65,60,14
"Austria",AUT,2,1974,40,29.5,9,10.6,9.9,87651,0.463,0.532,0.868,0.909,,,0.732,0.583,156,30,3,0.87,780,34,3,0.9,45,0.5,5,0.81,65,60,14
"Austria",AUT,2,1975,40,29.2,8.7,10.9,9.6,103651,0.4,0.477,0.887,0.932,0.383,0.43,0.686,0.543,156,30,3,0.89,780,34,3,0.91,45,0.5,5,0.83,65,60,13.9
"Austria",AUT,2,1976,40,28.9,8.5,10.7,9.8,112172,0.357,0.442,0.856,0.91,,,0.701,0.556,156,30,3,0.9,780,34,3,0.91,45,0.5,5,0.84,65,60,14
"Austria",AUT,2,1977,40,30.6,9.8,10.8,10,122085,0.445,0.503,0.865,0.91,0.389,0.438,0.714,0.567,156,30,0,0.91,780,34,3,0.92,45,0.5,5,0.84,65,60,14.35
"Austria",AUT,2,1978,40,31.5,10.5,10.7,10.3,129042,0.538,0.605,0.866,0.916,,,0.748,0.561,156,30,0,0.9,780,34,3,0.91,45,0.5,5,0.85,65,60,14.2
"Austria",AUT,2,1979,40,32.2,10.8,10.9,10.6,135998,0.541,0.661,0.856,0.97,0.4,0.456,0.766,0.614,156,30,0,0.9,780,34,3,0.91,45,0.47,5,0.86,65,60,14.55
"Austria",AUT,2,1980,40,32.5,10.8,11.1,10.6,145900,0.548,0.665,0.867,0.982,0.396,0.454,0.772,0.625,156,30,0,0.9,780,34,3,0.92,45,0.47,5,0.86,65,60,14.6
"Austria",AUT,2,1981,40,32.2,10.7,10.9,10.6,155638,0.55,0.669,0.874,0.99,0.393,0.451,0.768,0.622,156,30,0,0.89,780,34,3,0.9,45,0.46,5,0.86,65,60,14.65
"Austria",AUT,2,1982,40,31.6,10.3,10.5,10.8,164795,0.547,0.668,0.869,0.987,0.397,0.46,0.773,0.633,156,30,0,0.86,780,34,3,0.87,45,0.46,5,0.85,65,60,14.9
"Austria",AUT,2,1983,40,31.1,10.3,10.4,10.4,172741,0.539,0.659,0.865,0.984,0.353,0.414,0.775,0.637,156,30,0,0.86,780,34,3,0.86,45,0.46,5,0.85,65,60,14.85
"Austria",AUT,2,1984,40,31.5,10.2,10.3,11.1,180704,0.552,0.68,0.875,0.995,0.402,0.473,0.776,0.641,156,30,0,0.84,780,34,3,0.85,45,0.46,6,0.84,65,60,15.35
"Austria",AUT,2,1985,40,31.6,10.3,10.2,11,191218,0.555,0.686,0.885,1.005,0.396,0.462,0.77,0.632,156,30,0,0.85,780,34,3,0.84,45,0.45,7,0.84,65,60,15.3
"Austria",AUT,2,1986,40,31.7,10.5,10.2,11.1,199629,0.563,0.69,0.892,1.013,0.392,0.462,0.773,0.638,156,30,0,0.86,780,34,3,0.83,45,0.45,8,0.84,65,60,15.5
"Austria",AUT,2,1987,40,32.5,10.3,10.9,11.3,205425,0.553,0.68,0.876,0.992,0.414,0.475,0.784,0.624,156,30,0,0.85,780,34,3,0.9,45,0.45,9,0.84,65,60,15.8
"Austria",AUT,2,1988,40,32,10.4,10.2,11.4,213424,0.554,0.679,0.883,1,0.411,0.47,0.781,0.631,156,30,0,0.86,780,34,3,0.84,45,0.45,10,0.85,65,60,16.05
"Austria",AUT,2,1989,40,31.7,10.5,9.6,11.6,223288,0.54,0.653,0.829,0.821,0.41,0.477,0.809,0.657,156,30,0,0.88,780,34,3,0.85,45,0.45,10,0.85,65,60,16.1
"Austria",AUT,2,1990,40,31.3,10.4,9.5,11.5,240209,0.539,0.652,0.8,0.799,0.405,0.472,0.781,0.635,312,39,0,0.89,780,34,3,0.85,45,0.45,10,0.86,65,60,16.25
"Austria",AUT,2,1991,40,32,10.6,9.5,11.9,241757,0.561,0.673,0.797,0.797,0.438,0.513,0.81,0.66,312,39,0,0.89,780,34,3,0.85,45,0.45,11,0.86,65,60,16.3
"Austria",AUT,2,1992,40,32,10.6,9.4,12,257140,0.566,0.678,0.779,0.783,0.443,0.519,0.801,0.652,312,39,0,0.89,780,34,3,0.85,45,0.45,12,0.86,65,60,16.4
"Austria",AUT,2,1993,40,31.7,10.6,9.1,12,268133,0.568,0.661,0.766,0.753,0.458,0.509,0.808,0.639,312,39,0,0.89,780,34,3,0.84,45,0.45,13,0.88,65,60,16.55
"Austria",AUT,2,1994,40,31.4,10.1,8.9,12.4,279249,0.552,0.639,0.75,0.759,0.482,0.535,0.819,0.654,312,39,0,0.86,780,34,3,0.82,45,0.45,14,0.85,65,60,16.85
"Austria",AUT,2,1995,40,31.3,10.1,8.8,12.4,289830,0.563,0.646,0.756,0.762,0.478,0.533,0.816,0.654,312,39,0,0.86,780,34,3,0.81,45,0.45,15,0.86,65,60,16.9
"Austria",AUT,2,1996,40,31.5,10.1,8.9,12.5,295500,0.555,0.639,0.752,0.759,0.478,0.534,0.831,0.668,312,39,0,0.86,780,34,3,0.82,45,0.45,15,0.86,65,60,17
"Austria",AUT,2,1997,40,31.9,10.1,9.1,12.7,299492,0.556,0.64,0.741,0.757,0.478,0.534,0.854,0.687,312,39,0,0.86,780,60,3,0.81,45,0.45,15,0.87,65,60,17.15
"Austria",AUT,2,1998,40,32,10.1,9.2,12.7,305637,0.556,0.64,0.733,0.753,0.476,0.532,0.845,0.681,312,39,0,0.86,780,60,3,0.82,45,0.45,15,0.86,65,60,17.4
"Austria",AUT,2,1999,40,31.9,10.1,9.1,12.7,311179,0.559,0.639,0.725,0.744,0.474,0.52,0.848,0.671,312,39,0,0.86,780,60,3,0.82,45,0.45,15,0.87,65,60,17.55
"Austria",AUT,2,2000,40,32.2,10.2,9.2,12.8,319179,0.547,0.681,0.722,0.763,0.485,0.517,0.846,0.661,312,39,0,0.86,780,60,3,0.82,45,0.45,15,0.87,65,60,17.8
"Austria",AUT,2,2001,40,33.6,10.5,10.1,13,322000,0.55,0.743,0.9,0.899,0.487,0.524,0.857,0.676,312,39,0,0.86,780,62,3,0.82,45,0.45,15,0.87,65,60,18.1
"Austria",AUT,2,2002,40,34.1,10.5,10.7,12.9,23963,0.55,0.741,0.963,0.96,0.495,0.52,0.849,0.661,312,39,0,0.86,780,62,3,0.84,45,0.45,15,0.86,65,60,18.05
"Austria",AUT,2,2003,40,34.2,10.5,10.7,13,24405,0.55,0.745,0.959,0.957,0.497,0.533,0.849,0.663,312,39,0,0.86,780,62,3,,45,0.45,15,,65,60,18.05
"Austria",AUT,2,2004,40,34.3,10.5,10.7,13.2,24946,0.55,0.739,0.949,0.951,0.49,0.556,0.843,0.662,312,39,0,0.86,780,62,3,,45,0.45,16,,65,60,18.5
"Austria",AUT,2,2005,40,34.5,10.4,10.8,13.2,25758,0.55,0.733,0.928,0.943,0.475,0.567,0.826,0.666,312,39,0,0.86,780,62,3,0.86,45,0.45,17,,65,60,18.65
"Austria",AUT,2,2006,40,34.2,10.4,10.5,13.3,26605,0.55,0.73,0.922,0.925,0.483,0.565,0.817,0.662,312,39,0,0.86,780,62,3,0.84,45,0.45,18,,65,60,19
"Austria",AUT,2,2007,40,34.3,10.4,10.4,13.5,27426,0.55,0.726,0.916,0.911,0.496,0.567,0.817,0.665,312,39,0,0.86,780,62,3,0.84,45,0.45,19,,65,60,19.25
"Austria",AUT,2,2008,40,34.2,10.4,10.4,13.4,28206,0.55,0.723,0.911,0.899,0.5,0.566,0.78,0.638,312,39,0,0.86,780,62,3,0.84,45,0.45,20,,65,60,19.4
"Austria",AUT,2,2009,40,34,10.4,10.2,13.4,28640,0.55,0.731,0.885,0.892,0.497,0.563,0.799,0.639,312,39,0,0.86,780,62,3,0.83,45,0.45,21,,65,60,19.45
"Austria",AUT,2,2010,40,34.3,10.4,10.3,13.6,29148,0.55,0.729,0.882,0.885,0.496,0.562,0.829,0.665,312,39,0,0.86,780,62,3,0.84,45,0.45,22,,65,60,19.65
"Austria",AUT,2,2011,40,,10.4,10.3,,29724,0.55,0.726,0.888,0.88,0.432,0.589,0.836,0.677,312,39,0,,780,62,3,,45,0.45,23,,65,60,
"Belgium",BEL,3,1970,56,,,,,,,,,,,,,,,,,0.82,780,,,0.9,,,,,,,13.8
"Belgium",BEL,3,1971,56,,,,,200383,,,,,,,0.567,0.59,,999,1,0.83,26,52,1,0.91,35,0.43,35,0.8,60,60,13.75
"Belgium",BEL,3,1972,56,,,,,227255,,,,,,,0.539,0.562,,999,1,0.83,26,52,1,0.92,35,0.43,35,0.81,60,60,14
"Belgium",BEL,3,1973,56,,,,,264874,,,,,,,0.506,0.529,,999,1,0.84,26,52,1,0.92,35,0.43,35,0.83,60,60,13.95
"Belgium",BEL,3,1974,56,,,,9.3,320920,0.584,0.58,,,0.183,0.249,0.482,0.515,,999,0,0.84,26,52,1,0.93,35,0.43,35,0.84,60,60,14.15
"Belgium",BEL,3,1975,56,34.7,12.8,12.7,9.2,380037,0.595,0.59,0.796,0.826,0.19,0.259,0.48,0.471,75,999,0,0.84,26,52,1,0.94,35,0.43,35,0.86,60,60,14
"Belgium",BEL,3,1976,56,35.3,13,12.7,9.6,428406,0.598,0.593,0.804,0.834,0.201,0.275,0.496,0.534,75,999,0,0.85,26,52,1,0.94,35,0.43,35,0.88,60,60,14.1
"Belgium",BEL,3,1977,56,35.9,13.1,12.9,9.9,467561,,,,,,,,,75,999,0,0.85,26,52,1,0.95,35,0.43,35,0.89,60,60,14.6
"Belgium",BEL,3,1978,56,36.4,13.2,13,10.1,494432,,,,,,,,,75,999,0,0.85,26,52,1,0.95,35,0.43,35,0.9,60,60,14.55
"Belgium",BEL,3,1979,56,36.9,13.4,13.1,10.4,525910,,,,,,,,,75,999,0,0.85,26,52,1,0.95,35,0.43,35,0.9,60,60,14.9
"Belgium",BEL,3,1980,56,37.4,13.5,13.2,10.7,572743,,,,,,,,,75,999,0,0.85,26,52,1,0.96,35,,35,0.9,60,60,14.85
"Belgium",BEL,3,1981,56,37.9,13.6,13.3,11,622647,,,,,,,,,75,999,0,0.85,26,52,1,0.96,35,0.41,35,0.89,60,60,15
"Belgium",BEL,3,1982,56,38.4,13.7,13.4,11.2,669480,,,,,,,,,75,999,0,0.85,26,52,1,0.96,35,,35,0.87,60,60,15.2
"Belgium",BEL,3,1983,56,38.9,13.9,13.6,11.5,709403,0.656,0.744,0.849,0.953,0.315,0.368,0.628,0.66,75,999,0,0.85,26,52,1,0.96,35,0.44,35,0.91,60,60,15.1
"Belgium",BEL,3,1984,56,39.5,13.9,13.8,11.8,746255,0.668,0.751,0.864,0.968,0.333,0.39,0.642,0.677,75,999,0,0.85,26,52,1,0.97,35,,35,0.9,60,60,15.5
"Belgium",BEL,3,1985,56,40.1,14,14,12.1,767752,0.683,0.75,0.87,0.975,0.351,0.412,0.656,0.693,75,999,0,0.85,26,52,1,0.98,35,0.46,35,0.88,60,60,15.55
"Belgium",BEL,3,1986,56,40.5,13.9,14.5,12.2,777733,0.7,0.753,0.939,0.996,0.359,0.415,0.663,0.695,75,999,0,0.84,26,52,1,0.99,35,0.46,35,0.88,60,60,15.65
"Belgium",BEL,3,1987,56,40.5,13.9,14.5,12.2,785410,0.689,0.759,0.911,0.986,0.343,0.394,0.664,0.687,75,999,0,0.84,26,52,1,1,35,0.46,35,0.89,60,60,16.15
"Belgium",BEL,3,1988,56,40.5,13.8,14.3,12.4,808443,0.673,0.761,0.896,0.966,0.317,0.432,0.703,0.676,75,999,0,0.84,26,52,1,1,35,0.46,35,0.89,60,60,16.3
"Belgium",BEL,3,1989,56,39.4,13.7,14,11.6,842224,0.653,0.753,0.885,0.883,0.271,0.364,0.703,0.603,75,999,0,0.84,26,52,1,1,35,0.46,35,0.89,60,60,16.2
"Belgium",BEL,3,1990,56,39.8,13.7,14,12.1,885218,0.65,0.743,0.884,0.889,0.344,0.369,0.695,0.609,75,999,0,0.84,26,52,1,1,35,0.46,35,0.89,60,60,16.55
"Belgium",BEL,3,1991,56,40,13.6,14,12.4,932819,0.644,0.732,0.882,0.89,0.407,0.369,0.684,0.606,75,999,0,0.84,26,52,1,1,35,0.46,35,0.9,60,60,16.65
"Belgium",BEL,3,1992,56,40,13.5,14.1,12.4,975045,0.636,0.725,0.885,0.902,0.408,0.37,0.678,0.606,75,999,0,0.84,26,52,1,1,35,0.46,35,0.91,60,60,16.8
"Belgium",BEL,3,1993,56,40.2,13.6,14.1,12.5,1008826,0.65,0.738,0.885,0.909,0.408,0.372,0.708,0.615,78,999,0,0.84,26,52,1,1,35,0.46,35,0.92,60,60,16.65
"Belgium",BEL,3,1994,56,40.3,13.6,14.1,12.6,1014672,0.651,0.731,0.886,0.899,0.419,0.376,0.68,0.617,78,999,0,0.84,26,52,1,1,35,0.46,35,0.93,60,60,17.05
"Belgium",BEL,3,1995,56,39.9,13.6,13.7,12.6,1050927,0.649,0.725,0.879,0.91,0.427,0.376,0.682,0.619,78,999,0,0.84,26,52,1,0.97,35,0.46,35,0.94,60,60,17.05
"Belgium",BEL,3,1996,56,39.9,13.6,13.6,12.7,1067758,0.655,0.73,0.876,0.907,0.418,0.369,0.684,0.629,78,999,0,0.84,26,52,1,,35,0.46,35,0.95,60,60,17.2
"Belgium",BEL,3,1997,56,39.7,13.6,13.5,12.6,1092901,0.648,0.724,0.86,0.88,0.407,0.36,0.681,0.635,78,999,0,0.84,26,52,1,,35,0.46,35,0.95,60,60,17.35
"Belgium",BEL,3,1998,56,39.8,13.5,13.5,12.7,1117819,0.643,0.721,0.855,0.89,0.411,0.371,0.678,0.638,78,999,0,0.84,26,52,1,,35,0.46,35,0.98,60,60,17.45
"Belgium",BEL,3,1999,56,39.6,13.3,13.5,12.8,1139131,0.632,0.719,0.852,0.888,0.409,0.37,0.676,0.641,78,999,0,0.83,26,52,1,,35,0.46,35,0.99,60,60,17.55
"Belgium",BEL,3,2000,56,40,13.6,13.6,12.8,1169841,0.629,0.713,0.849,0.885,0.407,0.369,0.695,0.646,78,999,0,0.85,26,52,1,0.98,35,0.46,35,1.01,60,60,17.65
"Belgium",BEL,3,2001,56,40.5,13.8,13.6,13,1210290,0.618,0.745,0.845,0.882,0.42,0.383,0.69,0.651,78,999,0,0.86,26,52,1,,35,0.46,35,1.01,60,60,17.9
"Belgium",BEL,3,2002,56,40.3,13.9,13.5,13,31173,0.644,0.728,0.826,0.866,0.418,0.383,0.697,0.652,78,999,0,0.86,26,52,1,,35,0.46,35,1.01,60,60,17.75
"Belgium",BEL,3,2003,56,40.5,13.8,13.5,13.1,31238,0.634,0.719,0.837,0.873,0.42,0.384,0.717,0.674,78,999,0,0.86,26,52,1,,35,0.46,35,,60,60,17.75
"Belgium",BEL,3,2004,56,40.8,13.7,13.7,13.3,32281,0.625,0.705,0.829,0.86,0.427,0.385,0.711,0.66,78,999,0,0.86,26,52,1,1,35,0.46,35,,60,60,18.35
"Belgium",BEL,3,2005,56,41,13.7,13.7,13.6,33157,0.622,0.699,0.825,0.851,0.454,0.41,0.716,0.674,78,999,0,0.86,26,52,1,,35,0.46,35,,60,60,18.4
"Belgium",BEL,3,2006,56,41.1,13.6,13.6,13.8,34062,0.617,0.684,0.819,0.846,0.45,0.408,0.729,0.703,78,999,0,0.86,26,52,1,1,35,0.46,35,,60,60,18.8
"Belgium",BEL,3,2007,56,41.4,13.5,13.5,14.4,34953,0.613,0.678,0.816,0.844,0.499,0.452,0.732,0.705,78,999,0,0.86,26,52,1,0.99,35,0.46,35,,60,60,19.15
"Belgium",BEL,3,2008,56,41.6,13.7,13.6,14.3,36796,0.606,0.683,0.813,0.844,0.496,0.446,0.729,0.702,78,999,0,0.87,26,52,1,1,35,0.46,35,,60,60,19.1
"Belgium",BEL,3,2009,56,41.9,13.6,13.7,14.6,37091,0.619,0.682,0.823,0.852,0.522,0.467,0.748,0.708,78,999,0,0.86,26,52,1,1,35,0.46,35,,60,60,19.3
"Belgium",BEL,3,2010,56,42.6,14,13.7,14.8,37437,0.673,0.736,0.83,0.858,0.527,0.472,0.76,0.721,78,999,0,,26,52,1,,35,0.46,35,1.02,60,60,19.45
"Belgium",BEL,3,2011,56,,13.8,13.6,,38560,0.668,0.731,0.816,0.845,,,,,78,999,1,,26,52,1,,35,0.46,35,,60,60,
"Canada",CAN,4,1970,124,,,,,,,,,,,,,,20,40,7,0.68,,,,,,,,,,,15.6
"Canada",CAN,4,1971,124,10.8,,0,10.8,7158,,,0,0,0.279,0.491,0.286,0.505,20,40,7,0.67,20,15,14,0,5,0.5,5,0.97,65,65,15.6
"Canada",CAN,4,1972,124,21,10.1,0,10.9,7760,0.686,0.703,0,0,0.285,0.507,0.296,0.524,52,51,14,0.92,20,15,14,0,6,0.5,6,0.97,65,65,15.7
"Canada",CAN,4,1973,124,21.5,10.3,0,11.2,8344,0.69,0.709,0,0,0.3,0.537,0.314,0.555,52,51,14,0.93,20,15,14,0,7,0.5,7,0.97,65,65,15.8
"Canada",CAN,4,1974,124,21.1,10.1,0,11.1,9260,0.666,0.688,0,0,0.296,0.527,0.314,0.55,52,51,14,0.93,20,15,14,0,8,0.5,8,0.96,65,65,15.9
"Canada",CAN,4,1975,124,26.6,10.2,5.8,10.6,10573,0.641,0.664,0.404,0.371,0.29,0.51,0.311,0.54,52,51,14,0.96,20,15,14,0.89,13,0.5,13,0.96,65,65,16
"Canada",CAN,4,1976,124,26.6,10,5.8,10.8,11858,0.638,0.671,0.415,0.372,0.298,0.516,0.321,0.548,52,51,14,0.94,20,15,14,0.88,13,0.5,13,0.96,65,65,16.3
"Canada",CAN,4,1977,124,25.1,9.1,5.3,10.7,12998,0.633,0.661,0.41,0.375,0.289,0.489,0.315,0.524,52,51,14,0.86,20,15,14,0.8,13,0.5,13,0.95,65,65,16.6
"Canada",CAN,4,1978,124,24.9,9.1,5.2,10.6,13798,0.643,0.674,0.416,0.372,0.274,0.469,0.302,0.508,52,50,14,0.86,20,15,14,0.79,13,0.5,13,0.95,65,65,16.8
"Canada",CAN,4,1979,124,24.8,8.7,5.1,11,14967,0.591,0.613,0.384,0.343,0.308,0.496,0.342,0.539,52,50,14,0.86,20,15,14,0.8,13,0.5,13,0.95,65,65,16.7
